查重字段,重复次数,文本示例
专利摘要,2,本发明涉及工业机器人技术领域，具体涉及轴承外圈的热处理工艺改进，包括以下步骤：获取轴承外圈工艺及性能要求数据，根据工艺目标选择适用钢材熔铸材料，并对轴承外圈毛坯件进行预先热处理，将工件均匀平铺在多层料筐中，并采用多用炉的方式第一次加热，且温度为850℃并保温30min，以获取奥氏体化，多层料筐置入淬火池中，在180℃热油中进行等温淬火25min；本发明中，轴承外圈热处理工艺有效的改进了轴承外圈的耐磨性和变形性，降低了轴承外圈生产周期，且可保证工业机器人关节中关键零部件轴承在使用时的精度，并提高了轴承的使用寿命，从而避免机器人在运转时产生噪音、同时保证动作的重复精度、改善在工作中的失效产生。
专利名称+专利摘要,2,一种对硅钢片横剪线片料进行穿针叠柱与输送的装置。本实用新型提供一种对硅钢片横剪线片料进行穿针叠柱与输送的装置，包括输送装置、穿针定位装置、纵向移动平台和转运装置，所述的输送装置设在纵向移动平台上方，所述的穿针定位装置位于输送装置底部，穿针定位装置固定在纵向移动平台上，所述的转运装置布置在输送装置的输出侧；所述的转运装置通过对接机构与输送装置对接。本实用新型能够完成硅钢片的穿针叠柱，并将此硅钢片柱整体输送到指定工位。本实用新型采用输送装置和穿针定位装置的上下分层布置结构，首先完成了硅钢片的穿针定位，然后完成硅钢片柱的整体输送，整个工艺方法中不使用吊运设备，提高了生产效率。
专利名称+专利摘要,2,农药中间体生产用废气净化装置。本申请提供一种农药中间体生产用废气净化装置，包括过滤器，所述过滤器的两侧分别连接有左输送管和右输送管，所述左输送管和所述右输送管靠近过滤器的一端均设置有换流机构，所述换流机构包括滑动对接管和固定对接管，所述过滤器的内部设置有可抽拉的过滤框，所述过滤框与所述过滤器的表面之间设置有固定机构。工作人员可通过换流机构对装置整体通气量的大小进行切换以及调节，以方便改变装置整体的净化速率，并且工作人员可转动固定机构来对过滤框进行解锁，之后将其拉出进行清理，完成后再将其推入固定即可，从而达到方便调节通气量、改变净化速率以及清理过滤器的目的。
专利名称+专利摘要,2,一种千层蛋糕工作台。本实用新型公开了一种千层蛋糕工作台，包括一个支架、设置于支架底的滚轮、设置于支架上的工作台面，所述工作台面上相对的设置有两条直线导轨，所述两条直线导轨末端的工作台面上设置有弧形过渡导轨；在所述导轨上设置有至少一个蛋糕转运平台，所述蛋糕转运平台包括底座、设置于底座底部的导向轮、连接于所述底座上部的蛋糕加工台；所述底座上的一个导向轮设置于所述导轨内并能够沿所述导轨运动，运动至所述弧形过渡导轨处时能够切换导向轮，使得所述蛋糕转运平台能够沿整个导轨运动。本实用新型的工作台结构设计合理，能够有效提高生产效率，实用性强。
专利名称+专利摘要,2,一种节能环保蒸汽智能洗车机。本实用新型涉及一种节能环保蒸汽智能洗车机，包括支撑平台、设置在支撑平台顶面的清洗装置、与所述清洗装置连通的供水供汽装置以及设置在支撑平台上的循环装置，所述供水供汽装置与循环装置相连通，支撑平台可对清洗装置进行支撑，清洗装置可对汽车进行清洗，供水供汽装置可为清洗装置提供蒸汽和水，循环装置可将清洗装置的水循环利用。
专利名称+专利摘要,2,一种CD-RIM建筑垃圾资源化信息管理方法及系统。本发明公开了一种CD‑RIM建筑垃圾资源化信息管理方法及系统，属于环保信息处理技术领域，包括申报及审批系统、信息识别及收集系统、运输系统、资源化处理系统、产品再生利用系统和移动监管系统。申报及审批系统生成的电子联单发送到信息识别及收集系统、运输系统和资源化处理系统；信息识别及收集系统根据收集的数据对所述电子联单进行更新，并发送到运输系统和资源化处理系统，将建筑垃圾分类信息发送到再生产品利用系统。通过平台实现对建筑垃圾的信息共享、统计分析、过程监管，促进建筑垃圾产、运、消、用的综合管理，规范建设单位、运输企业、消纳企业的市场行为，建构建筑垃圾智慧管理大数据，最终形成全链条管理一体化解决方案。
专利名称+专利摘要,2,一种光伏电站组件爬梯。本实用新型公开了一种光伏电站组件爬梯，包括爬梯，爬梯一侧设有滑槽，滑槽内固定设有齿条，滑槽滑动卡接安装块，安装块上设有齿轮，安装块的下端转动连接平台的一端，平台的远离安装块一端铰接第二连接杆一端，第二连接杆的另一端铰接第一连接杆的一端，第一连接杆自由端铰接安装块的上端，安装块上端固定连接钢丝绳一端，钢丝绳自由端滑动接触定滑轮且固定连接转盘，转盘转动设在卡座上，卡座固定连接爬梯支撑腿一侧，便于平台在爬梯上上下移动，使得平台能够停放在需要工作的高度位置，同时便于平台的固定，平台的收折能够使爬梯正常使用不受限制，减少爬梯的占用空间，当钢丝绳损坏时，能够避免平台下坠，保障工作人员的人身安全。
专利名称+专利摘要,2,一种用于新能源汽车电池的高韧性低收缩耐电解液PBT材料及其制备方法、应用。本发明公开了一种用于新能源汽车电池的高韧性低收缩耐电解液PBT材料及其制备方法、应用，包括质量百分数的如下组分：PBT树脂74％‑84％；增韧剂110％‑15％；增韧剂25％‑10％；成核剂0.2％‑1％；助剂0.5％‑1％；所述的助剂为抗氧剂和润滑剂，所述的增韧剂1为TPEE树脂，所述的增韧剂2为三元乙烯共聚物类增韧剂。本发明在不添加矿物或玻纤的情况下，通过TPEE树脂和三元乙烯共聚物类增韧剂同时对PBT树脂进行改进，能够使材料具有高韧性的同时具有低收缩率，而且能满足新能源汽车电池的电解液环境。
专利名称+专利摘要,2,一种光伏发电显示屏。本发明属于显示屏技术领域，具体涉及一种光伏发电显示屏。其包括透明基板、多个发光单元及光伏发电组件，透明基板上设置有显示电路，多个发光单元固定在透明基板上，且与显示电路电连接，多个发光单元用于通过发光以显示内容，光伏发电组件与透明基板层叠设置且相对固定，光伏发电组件用于吸收光能发电且所产生的电能对发光单元供电或者或对外输出。本发明提供的光伏发电显示屏，可将隔音、隔热、节能、环保、亮化、显示和防火等多种功能集于一体，可作为建筑材料使用，并且在实现同样功能下，比其他的建筑材料单位面积造价更低，并且在实际应用过程中，装配过程较为简单，装配工期较短。
专利名称+专利摘要,2,一种基于大数据平台的远控可控报警设备。本发明公开了一种基于大数据平台的远控可控报警设备，包括箱体和安装座，所述安装座固定连接于箱体一侧，且安装座远离箱体的一侧竖直设置有安装板，所述安装板一对称侧面均开设有矩形凹槽，且安装座一侧两端均滑动有夹板，两个所述夹板对立的两端均固定有和矩形凹槽相适配的固定块，且安装座内部设有用于同步移动两个夹板的同步移动机构，所述箱体内底部固定有密封箱并竖直设置，且箱体一对称侧面均开设有条形槽口并有多个均匀分布，多个所述条形槽口内部均滑动有相适配的条形板。本发明可在箱体内部温度升高时，自动打开条形板进行散热，进而提高了该设备的使用效果。
专利名称+专利摘要,2,一种金属3D打印冷却装置和金属3D打印方法。本发明提供了一种金属3D打印冷却装置和金属3D打印方法，涉及冷却设备领域。该金属3D打印冷却装置包括冷却平台和多根水冷管，多根水冷管间隔布置于冷却平台的上表面。本申请通过在冷却平台的上表面直接布置多个水冷管，金属熔体在冲击至冷却平台时从多个水冷管的间隙穿过并在冷却平台上表面迅速铺展，随着熔体不断下落，水冷管逐渐被熔体覆盖包裹住，水冷管的外壁与已经凝固的铸锭直接紧密接触，不形成宏观尺度的气隙，只可能形成微观尺度可以忽略不计的气隙，此时无论铸锭和上冷却平板发生多大的热变形，水冷管始终被铸锭包裹，形成紧密接触的表面，从而大大减少了界面热阻，极大的缩短了冷却时间，有利于提升铸锭的力学性能。
专利名称+专利摘要,2,采用5G的光伏阵列状态监控方法、装置及系统。本申请提供了一种采用5G的光伏阵列状态监控方法、装置及系统，涉及光伏发电技术领域。该方法应用于与无人机基于5G网络通信连接的控制中心，该方法包括：将光伏阵列中待检测的光伏组串依次作为目标光伏组串，并接收无人机发送的目标光伏组串的红外图像，其中，目标光伏组串中包括多个串联的光伏板；对红外图像进行分析，得到目标光伏组串中每个光伏板的热斑信息，其中，热斑信息包括热斑最高温度；根据目标光伏组串中每个光伏板的热斑信息，得到目标光伏组串的热斑危险等级。如此，对光伏阵列的状态进行监控，以便在光伏阵列中的光伏组串异常时及时采取相应措施，并且无需人工固定巡护，可节约人工运维成本。
专利名称+专利摘要,2,用于智慧城市的物联网智慧照明控制终端。本实用新型公开了用于智慧城市的物联网智慧照明控制终端，涉及智慧照明控制终端技术领域，包括：终端主机；插槽，所述插槽位于终端主机的内壁一端且位于远离插槽一侧的位置处。本实用新型通过设置连接机构实现快速拆卸主机盖的功能，拉动连接块，连接块移动带动两个第一移动杆通过移动座移动，第一弹簧回缩，第一移动杆移动使斜形块移动，斜形块移动使弹簧块沿着斜形块外壁移动，斜形块失去对弹簧块抵住状态，第二弹簧回缩，固定块从固定槽内移出进入卡槽内，固定块失去与固定座抵住状态，此时可拉动主机盖，主机盖一端的小块从插槽内移出，主机盖与终端主机分离，从而实现快速拆卸主机盖的功能，从而提高终端主机的检修效率。
专利名称+专利摘要,2,知识数据和人工智能驱动的眼科多病种识别系统。本发明提供了一种目标分类系统。该目标分类系统具体可以是知识数据和人工智能驱动的多病种识别系统。该系统能够用于获取医学图像和非图像医学信息；使用医学专家知识库匹配信息数据，由医学知识推理算法得到眼科疾病权重结果；使用医学影像诊断中的器官组织分割算法、疾病病灶识别算法得到眼科疾病权重结果；结合知识推理和医学图像识别所得权重结果，加权计算获得最终疾病诊断结果。本发明参照医学临床诊断思路，以大数据对医学数据的结构化处理，以人工智能模型对疾病病灶的检测能力，实现了疾病的自动诊断。该系统改进了现有就诊方式，实现了疾病的人工智能初步诊断筛查，有效缓解医疗资源紧缺现状，具有广泛的应用前景。
专利名称+专利摘要,2,一种高智能机器人的抓取动作控制方法及系统。本发明公开了一种高智能机器人的抓取动作控制方法及系统，其中控制系统包括环境感知模块、识别模块、判断模块、动作规划模块和执行模块。通过本技术方案，能够实现高智能机器人的自主抓取动作规划控制，实现对于各类物体的有效抓取；对于某些碎片化易跟随环境发生移动的细小物体，通过迭代规划的方式实现精准的追踪抓取，同时还能够实现抓取物体的搬运；并于识别和动作规划中通过预先的人工智能训练实现智能化自主识别和自主规划，无需使用者输入相应的识别模型和动作模型，大大提升了应用该种抓取控制系统的机器人的智能性。
专利名称+专利摘要,2,一种基于高Q值微环的超窄带宽可调谐光学滤波器。本发明提供了一种基于高Q值微环的超窄带宽可调谐光学滤波器，基于硅基高品质因子(Q)微环辅助马赫增德尔干涉仪(MZI)实现，输入光信号经过3dB分束器后分作两路，分别经过一个特殊设计的高Q值微环，并且在MZI上支路引入π相移，然后两路光信号通过另一个3dB耦合器干涉输出，此光学滤波器便可以实现超窄带宽且高形状因子；并且，通过操控高Q值微环的热电极，便可以在保持高消光比时实现滤波器带宽和中心波长可调谐。本发明的有益效果是：本发明实现了超窄带宽且带宽可调谐、高消光比和高形状因子的光学滤波器，同时具有尺寸小、制备成本低和可大规模集成等优势，是光通信芯片、量子计算芯片和人工智能芯片的基本元件，有着广阔的市场前景。
专利名称+专利摘要,2,一种光伏并网智能断路器。本发明公开了一种光伏并网智能断路器包括处理器、多维度一体化传感器、物联网通讯模块、指纹拓扑信号发送和识别模块、双端高精度采集模块、并网保护模块、防孤岛保护模块，所述处理器分别与所述物联网通讯模块、所述指纹拓扑信号发送和识别模块、所述双端高精度采集模块、所述并网保护模块、所述防孤岛保护模块连接，所述多维度一体化传感器与所述双端高精度采集模块连接。该光伏并网智能断路器集成并网保护、防孤岛保护、物联网通信、自动拓扑识别、电能质量、短路等故障研判及保护等功能和应用集为一体，提升了数据源头的智能感知能力，实现全景感知与可视化监测。
专利名称+专利摘要,2,基于知识图谱的审计处理方法及装置。本发明公开了一种基于知识图谱的审计处理方法及装置，涉及人工智能和大数据技术领域，其中该方法包括：接收用户输入关于审计项目的审计程序；根据所述审计程序，以及预先构建的审计知识图谱，确定所述审计程序业务范围对应的结构化审计规章制度、历史问题和历史疑点；所述审计知识图谱根据审计程序、问题库、疑点库和结构化审计规章制度预先构建；将确定出的结构化审计规章制度、历史问题和历史疑点推荐给所述用户；确定出的结构化审计规章制度、历史问题和历史疑点用于帮助用户完成审计处理。本发明可以快速精准定位地审计所需要的规章制度文件及相关历史问题、疑点，提高了审计处理效率。
专利名称+专利摘要,2,一种高炉可视化智能感知平台。本发明涉及一种高炉可视化智能感知平台，本发明通过大数据分析技术与机理相结合的复杂工业过程运行动态性能的智能建模与可视化，以及基于多目标动态约束的经营管理和生产操作的智能优化决策，把异构设备连接起来、把数据汇集起来，实现在边缘或云端计算通过完整的数据采集集成增强工业互联网平台设备连接能力，采用一些数学算法或理论，通过大量深度学习算法模型提高水平的数据模型和大数据分析能力，同时增强对设备安全保障。
专利名称+专利摘要,2,一种基于人工智能技术的3D视觉码垛系统及方法。本发明公开了一种基于人工智能技术的3D视觉码垛系统及方法，包括：3D结构光相机、输送线、机械臂、移动平台、控制处理单元；机械臂安装于移动平台上部，末端安装有3D结构光相机和抓取装置；输送线安装有二维码检测装置；控制处理单元包括图像处理模块、控制模块、运算模块；控制模块与机械臂、移动平台、抓取装置、输送线的电控单元连接；运算模块与图像处理模块、控制模块连接；运算模块内置人工神经网络；本发明通过物品的二维码可快速读取包装信息，推导出抓取路径，实现快速抓取，并结合物品信息知晓码垛区域位置，提升了整体码垛效率，并结合3D图像采集、人工神经网络判别，进一步提升了码垛精度及速度，提升了稳定性和安全性。
专利名称+专利摘要,2,一种从干细胞中提取外泌体的提取方法。本发明公开了该从干细胞中提取外泌体的提取方法，通过含血清的培养基培养后，首先采用含血清培养基培养干细胞，培养至一定时间，再用不含血清的培养基培养干细胞，通过提取管将放置商品化试剂盒中上清液体进行去除，并将沉淀物用注射器进行收集，通过对干细胞外泌体进行两次提取和纯化培养有效地提高细胞外泌体的纯度，降低其杂蛋白含量，保证其功能性的良好，且使用促细胞生长剂3CS‑NK‑B1和3CS‑NK‑B2对其进行诱导分化，使其达到预想的使用目的，使其中蛋白质可以更好的表达；改变现有的采用外泌体提取试剂盒对其进行脱水处理后高速离心技术，使提取技术更加科学化，并在其提取过程中保证所需外泌体的蛋白质不会被破坏，从而不影响整体的表达。
专利名称+专利摘要,2,应用于风电场的风光储直流侧耦合配置方法。本发明涉及应用于风电场的风光储直流侧耦合配置方法，包括步骤：在单点位风机旁布置光伏阵列、储能单元，在直流侧耦合，再依次通过逆变器进行变流、通过箱式变压器进行升压，形成一套风光储直流侧耦合微电网控制系统；并且一个风电场应有若干套风光储直流侧耦合微电网控制系统，且若干套风光储直流侧耦合微电网控制系统最终通过集电线路输送到电力系统。由于在单点位风机附近增加光伏阵列使风电场年发电量增加，度电成本降低，并且在发电直流侧配置可靠性高的储能单元，可以使可靠性差的间歇性能源转变为稳定的电能，提高电力系统对间歇性能源发电的接纳程度。
专利名称+专利摘要,2,一种工业互联网平台发展指数监测方法及系统。本发明提供了一种工业互联网平台发展指数监测方法及系统，包括以下步骤，建立监测指标体系，确定平台发展系列指数，工业互联网平台发展指数通过定基指数法测算，确定基期指数，处理采集项，测算分类指数，计算综合指数，通过所述和所述搭建工业互联网平台发展指数监测平台识别工业互联网平台在发展中存在的弱项，明确未来工业互联网平台发展的重点和目标，为政府、企业、科研机构等开展工业互联网平台建设与应用提供科学建议与实践参考，对于促进工业互联网平台健康、持续发展具有重要意义。
专利名称+专利摘要,2,一种新能源汽车发电机自动散热降温机构。本发明涉及一种新能源汽车发电机自动散热降温机构，设置于发电机机构上，发电机机构包括发电机以及设置于发电机动力输入端的转轴，自动散热降温机构包括箱体、传动机构、风冷机构和液冷机构，箱体具有空腔以及与空腔连通的出风口和进风口，传动机构包括第一固定咬合套、第二固定咬合套、第一离合组件、第二离合组件和驱动组件，驱动组件用于驱动第一离合组件与第一固定咬合套咬合或者分离以及第二离合组件与第二固定咬合套咬合或者分离；风冷机构包括设置于进风口处的散热风机，液冷机构包括循环泵、冷却盘管和冷却水箱，可以有效应对发电机发热范围跨度大的情况，既可以进行有效散热，又可以有效控制散热消耗的功率，提高使用可靠性。
专利名称+专利摘要,2,一种基于大数据互联网平台的广告推送方法及系统。本发明提出了一种基于大数据互联网平台的广告推送方法及系统，涉及互联网技术领域。一种基于大数据互联网平台的广告推送方法包括：获取互联网平台中的商家信息数据、用户个人信息数据及广告投放信息数据；通过大数据算法及深度报文检测对商家信息数据及用户个人信息数据的数据流进行数据分析；根据广告投放信息数据策略及商家信息数据、用户个人信息数据的大数据分析结果，通过互联网广告内容数据报文与用户数据的映射关系，获取每一广告信息各自对应的广告投放数据，以得到广告推送策略。其能够对用户历史数据进行分析，然后对用户潜在需求进行匹配，进而进行精准广告的推送。本发明还提出了一种基于大数据互联网平台的广告推送系统。
专利名称+专利摘要,2,一种基于物联网的智慧农业智能节水灌溉系统。本发明公开了一种基于物联网的智慧农业智能节水灌溉系统，涉及农业节能技术领域，包括灌溉模组，灌溉模组包括划区模块、第一采集模块、第一计算模块、第二采集模块、第二计算模块和灌溉模块，划区模块用于将栽培区域划分为多个采样区域，第一采集模块用于获取含水量变化率，第一计算模块用于计算第一差值，若第一差值小于第一预设阈值，则拼合形成第一灌溉区域，若第一差值不小于第一预设阈值，则形成第二灌溉区域，第二采集模块用于采集实时土壤含水量，第二计算模块用于得到灌溉用水量，灌溉模块用于按对应的灌溉用水量分别对多个第一灌溉区域和多个第二灌溉区域进行灌溉作业。本发明具有自动化水平高、节水节能率高和灌溉效果好的优点。
专利名称+专利摘要,2,基于区块链的物联网设备的访问方法及装置。本申请公开了一种基于区块链的物联网设备的访问方法及装置。其中，区块链上部署有物联网设备访问管理智能合约，该方法包括：区块链节点向智能合约发起访问物联网设备的请求，以通过智能合约并基于请求获取到访问令牌；区块链节点将包含访问令牌的访问信息发送给物联网设备；在物联网设备对访问信息验证通过的情况下，获得物联网设备的访问权限。本申请避免了对第三方身份认证服务器的依赖，可以解决“单点故障”或“单点信任”问题。
专利名称+专利摘要,2,一种新能源汽车蓄电池座生产用焊接装置。本实用新型涉及新能源汽车技术领域，且公开了一种新能源汽车蓄电池座生产用焊接装置，包括底座，所述底座的顶端固定安装有安装板，安装板呈L型设置，安装板的横侧顶端设置有焊接组件，所述底座的顶端固定安装有位于安装板前方的支架，支架的横侧内部设有连接孔，所述支架的横侧底端固定安装有安装框。该新能源汽车蓄电池座生产用焊接装置，具备能够对焊接结束后的电池座进行冷却的优点，解决了目前市面上的新能源汽车蓄电池座在生产的过程中需要使用到焊接装置，但是现有的焊接装置不方便对焊接完成后的蓄电池快速进行冷却，将会降低蓄电池座加工后的冷却速度，并且影响蓄电池座的加工效率的问题。
专利名称+专利摘要,2,一种基于生产数据管理的工业互联网平台评价方法及系统。本发明提出了一种基于生产数据管理的工业互联网平台评价方法及系统，涉及生产管理技术领域。该方法包括：获取目标产品全生产周期中任一阶段的目标生产数据，根据每个目标生产数据配置终端采集设备。利用赋权算法对每个目标生产数据进行赋权，得到每个目标生产数据的指标权重。实时监控生产过程，对所有终端采集设备进行寻址，以获取实时目标生产数据。若实时目标生产数据达到当前生产标准，则将实时目标生产数据与对应指标权重相乘，得到计算结果。将所有实时目标生产数据和计算结果输入工业互联网平台评价模型，得到评价分析结果。该方法及系统实现了针对生产数据的重要程度对目标产品全生产周期进行评价的目的，达到了较为准确的分析评价效果。
专利名称+专利摘要,2,一种语音交互方法、装置、计算机可读存储介质及服务器。本发明属于人工智能技术领域，尤其涉及一种语音交互方法、装置、计算机可读存储介质及服务器。所述方法包括：建立与预设的电话平台之间的交互连接，并接收所述电话平台发送的用户实时语音数据；当所述电话平台处于预设的人工智能播报状态时，通过预设的自动语音识别引擎将所述用户实时语音数据识别为文本数据；通过预设的自然语言处理系统对所述文本数据进行意图识别，得到意图识别结果；若所述意图识别结果为无效意图，则返回执行所述接收所述电话平台发送的用户实时语音数据的步骤及其后续步骤；若所述意图识别结果为有效意图，则将所述自动语音识别引擎的识别结果发送至所述电话平台，停止所述电话平台的人工智能播报状态。
专利名称+专利摘要,2,轴承外圈的热处理工艺改进。本发明涉及工业机器人技术领域，具体涉及轴承外圈的热处理工艺改进，包括以下步骤：获取轴承外圈工艺及性能要求数据，根据工艺目标选择适用钢材熔铸材料，并对轴承外圈毛坯件进行预先热处理，将工件均匀平铺在多层料筐中，并采用多用炉的方式第一次加热，且温度为850℃并保温30min，以获取奥氏体化，多层料筐置入淬火池中，在180℃热油中进行等温淬火25min；本发明中，轴承外圈热处理工艺有效的改进了轴承外圈的耐磨性和变形性，降低了轴承外圈生产周期，且可保证工业机器人关节中关键零部件轴承在使用时的精度，并提高了轴承的使用寿命，从而避免机器人在运转时产生噪音、同时保证动作的重复精度、改善在工作中的失效产生。
