停用词,来源,总词频,文档频率,文档占比,去除原因
一种,专利模板停用词,33130,9321,0.9321,专利模板词
包括,专利模板停用词,12279,8524,0.8524,专利模板词
通过,泛动作词,10444,5734,0.5734,泛动作词
公开,专利模板停用词,5816,5614,0.5614,专利模板词
进行,泛动作词,10115,5082,0.5082,泛动作词
所述,专利模板停用词,25711,4926,0.4926,专利模板词
本发明,专利模板停用词,8117,4545,0.4545,专利模板词
实用新型,专利模板停用词,7232,4367,0.4367,专利模板词
领域,专利模板停用词,4516,4320,0.432,专利模板词
连接,结构壳词,13220,4236,0.4236,结构壳词
装置,专利模板停用词,19237,4149,0.4149,专利模板词
技术,专利模板停用词,5387,4122,0.4122,专利模板词
涉及,专利模板停用词,4710,3953,0.3953,专利模板词
设置,结构壳词,10251,3898,0.3898,结构壳词
方法,专利模板停用词,14412,3236,0.3236,专利模板词
技术领域,专利模板停用词,3231,3198,0.3198,专利模板词
固定,结构壳词,10500,3167,0.3167,结构壳词
提高,泛动作词,3648,2919,0.2919,泛动作词
安装,结构壳词,9628,2824,0.2824,结构壳词
提供,泛动作词,3288,2674,0.2674,泛动作词
平台,结构壳词,9679,2551,0.2551,结构壳词
实现,泛动作词,3545,2520,0.252,泛动作词
用于,泛动作词,6230,2413,0.2413,泛动作词
生产,泛动作词,6245,2361,0.2361,泛动作词
能够,泛动作词,3514,2313,0.2313,泛动作词
可以,专利模板停用词,3307,2247,0.2247,专利模板词
设备,专利模板停用词,7702,2159,0.2159,专利模板词
第一,结构壳词,7072,2116,0.2116,结构壳词
系统,专利模板停用词,8817,2009,0.2009,专利模板词
以及,专利模板停用词,3076,1975,0.1975,专利模板词
基于,专利模板停用词,7289,1950,0.195,专利模板词
同时,泛动作词,2152,1837,0.1837,泛动作词
之间,泛动作词,2435,1784,0.1784,泛动作词
内部,结构壳词,3471,1781,0.1781,结构壳词
设有,结构壳词,4682,1749,0.1749,结构壳词
结构,结构壳词,4117,1738,0.1738,结构壳词
具有,泛动作词,2975,1735,0.1735,泛动作词
使用,泛动作词,2619,1735,0.1735,泛动作词
机构,结构壳词,7185,1703,0.1703,结构壳词
第二,结构壳词,4638,1699,0.1699,结构壳词
从而,外部中文停用词表,2092,1678,0.1678,通用停用词
根据,泛动作词,2347,1504,0.1504,泛动作词
问题,外部中文停用词表,1681,1462,0.1462,通用停用词
表面,结构壳词,2964,1358,0.1358,结构壳词
属于,专利模板停用词,1347,1337,0.1337,专利模板词
转动,外部中文停用词表,3019,1322,0.1322,通用停用词
有效,外部中文停用词表,1586,1317,0.1317,通用停用词
一种基于,词频突变高频词,4272,1310,0.131,高频泛词
利用,泛动作词,1976,1300,0.13,泛动作词
顶部,结构壳词,2466,1297,0.1297,结构壳词
底部,结构壳词,2030,1297,0.1297,结构壳词
移动,外部中文停用词表,3346,1296,0.1296,通用停用词
支撑,结构壳词,3719,1251,0.1251,结构壳词
组件,结构壳词,5336,1245,0.1245,结构壳词
一侧,结构壳词,2087,1245,0.1245,结构壳词
避免,泛动作词,1443,1233,0.1233,泛动作词
过程,泛动作词,1572,1224,0.1224,泛动作词
分别,泛动作词,1624,1212,0.1212,泛动作词
处理,外部中文停用词表,2778,1160,0.116,通用停用词
解决,泛动作词,1226,1129,0.1129,泛动作词
使得,外部中文停用词表,1499,1116,0.1116,通用停用词
位置,结构壳词,1809,1073,0.1073,结构壳词
得到,外部中文停用词表,1731,1046,0.1046,通用停用词
具体,外部中文停用词表,1071,1030,0.103,通用停用词
方便,外部中文停用词表,1280,1014,0.1014,通用停用词
驱动,泛动作词,2536,1012,0.1012,泛动作词
两侧,结构壳词,1378,997,0.0997,结构壳词
应用,外部中文停用词表,2315,974,0.0974,通用停用词
模块,结构壳词,5215,967,0.0967,结构壳词
两个,外部中文停用词表,1955,956,0.0956,通用停用词
工作,结构壳词,1744,927,0.0927,结构壳词
加工,泛动作词,2818,916,0.0916,泛动作词
调节,泛动作词,2443,916,0.0916,泛动作词
其中,专利模板停用词,1054,915,0.0915,专利模板词
对应,外部中文停用词表,1512,913,0.0913,通用停用词
减少,泛动作词,1050,895,0.0895,泛动作词
及其,专利模板停用词,3149,866,0.0866,专利模板词
便于,泛动作词,1474,858,0.0858,泛动作词
不同,外部中文停用词表,1165,796,0.0796,通用停用词
制备,泛动作词,3359,734,0.0734,泛动作词
形成,泛动作词,903,692,0.0692,泛动作词
需要,外部中文停用词表,816,691,0.0691,通用停用词
步骤,专利模板停用词,1249,672,0.0672,专利模板词
定位,泛动作词,2230,661,0.0661,泛动作词
一个,外部中文停用词表,1041,658,0.0658,通用停用词
并且,外部中文停用词表,777,656,0.0656,通用停用词
完成,泛动作词,793,647,0.0647,泛动作词
安全,外部中文停用词表,1446,601,0.0601,通用停用词
产生,外部中文停用词表,762,601,0.0601,通用停用词
达到,泛动作词,651,572,0.0572,泛动作词
确定,外部中文停用词表,1019,569,0.0569,通用停用词
进而,外部中文停用词表,660,551,0.0551,通用停用词
尤其,外部中文停用词表,540,538,0.0538,通用停用词
制备方法,泛动作词,2199,531,0.0531,泛动作词
防止,外部中文停用词表,664,523,0.0523,通用停用词
结果,外部中文停用词表,917,519,0.0519,通用停用词
单元,结构壳词,2067,495,0.0495,结构壳词
相对,外部中文停用词表,620,492,0.0492,通用停用词
发生,外部中文停用词表,622,487,0.0487,通用停用词
更加,外部中文停用词表,547,478,0.0478,通用停用词
增加,泛动作词,549,474,0.0474,泛动作词
升降,泛动作词,1589,469,0.0469,泛动作词
造成,外部中文停用词表,508,455,0.0455,通用停用词
以下,外部中文停用词表,466,452,0.0452,通用停用词
满足,外部中文停用词表,518,451,0.0451,通用停用词
然后,外部中文停用词表,512,421,0.0421,通用停用词
作为,外部中文停用词表,550,409,0.0409,通用停用词
进入,外部中文停用词表,534,400,0.04,通用停用词
每个,外部中文停用词表,618,373,0.0373,通用停用词
上下,外部中文停用词表,533,368,0.0368,通用停用词
适用,外部中文停用词表,614,361,0.0361,通用停用词
提出,外部中文停用词表,383,349,0.0349,通用停用词
结合,外部中文停用词表,440,340,0.034,通用停用词
由于,外部中文停用词表,365,337,0.0337,通用停用词
出现,外部中文停用词表,377,334,0.0334,通用停用词
而且,外部中文停用词表,337,318,0.0318,通用停用词
针对,外部中文停用词表,377,315,0.0315,通用停用词
不仅,外部中文停用词表,328,315,0.0315,通用停用词
获得,外部中文停用词表,458,313,0.0313,通用停用词
是否,外部中文停用词表,408,312,0.0312,通用停用词
直接,外部中文停用词表,351,310,0.031,通用停用词
组成,外部中文停用词表,398,308,0.0308,通用停用词
存在,外部中文停用词表,352,299,0.0299,通用停用词
中间,外部中文停用词表,449,298,0.0298,通用停用词
在于,外部中文停用词表,297,295,0.0295,通用停用词
左右,外部中文停用词表,378,286,0.0286,通用停用词
上述,专利模板停用词,297,275,0.0275,专利模板词
范围,外部中文停用词表,333,268,0.0268,通用停用词
第三,外部中文停用词表,498,266,0.0266,通用停用词
不会,外部中文停用词表,283,263,0.0263,通用停用词
如下,外部中文停用词表,267,262,0.0262,通用停用词
无法,外部中文停用词表,288,261,0.0261,通用停用词
更好,外部中文停用词表,277,253,0.0253,通用停用词
要求,外部中文停用词表,292,251,0.0251,通用停用词
部分,外部中文停用词表,396,250,0.025,通用停用词
反应,外部中文停用词表,529,242,0.0242,通用停用词
良好,外部中文停用词表,273,241,0.0241,通用停用词
及时,外部中文停用词表,268,239,0.0239,通用停用词
或者,外部中文停用词表,280,234,0.0234,通用停用词
实际,外部中文停用词表,302,232,0.0232,通用停用词
合理,外部中文停用词表,247,230,0.023,通用停用词
相应,外部中文停用词表,282,228,0.0228,通用停用词
经过,外部中文停用词表,271,227,0.0227,通用停用词
一定,外部中文停用词表,256,227,0.0227,通用停用词
各个,外部中文停用词表,330,224,0.0224,通用停用词
整个,外部中文停用词表,247,223,0.0223,通用停用词
容易,外部中文停用词表,228,208,0.0208,通用停用词
加入,外部中文停用词表,347,206,0.0206,通用停用词
保持,外部中文停用词表,235,191,0.0191,通用停用词
当前,外部中文停用词表,359,189,0.0189,通用停用词
正常,外部中文停用词表,211,188,0.0188,通用停用词
主要,外部中文停用词表,220,187,0.0187,通用停用词
特点,外部中文停用词表,189,185,0.0185,通用停用词
所有,外部中文停用词表,228,182,0.0182,通用停用词
最后,外部中文停用词表,183,180,0.018,通用停用词
前后,外部中文停用词表,228,178,0.0178,通用停用词
充分,外部中文停用词表,195,174,0.0174,通用停用词
极大,外部中文停用词表,183,171,0.0171,通用停用词
按照,外部中文停用词表,193,167,0.0167,通用停用词
之后,外部中文停用词表,188,165,0.0165,通用停用词
特别,外部中文停用词表,165,165,0.0165,通用停用词
大量,外部中文停用词表,173,164,0.0164,通用停用词
对于,外部中文停用词表,191,161,0.0161,通用停用词
适应,外部中文停用词表,224,155,0.0155,通用停用词
其他,外部中文停用词表,175,155,0.0155,通用停用词
首先,外部中文停用词表,159,155,0.0155,通用停用词
部件,结构壳词,376,153,0.0153,结构壳词
最大,外部中文停用词表,181,142,0.0142,通用停用词
关系,外部中文停用词表,246,140,0.014,通用停用词
这样,外部中文停用词表,161,140,0.014,通用停用词
构成,外部中文停用词表,174,138,0.0138,通用停用词
受到,外部中文停用词表,155,136,0.0136,通用停用词
相同,外部中文停用词表,157,129,0.0129,通用停用词
以上,外部中文停用词表,174,128,0.0128,通用停用词
显著,外部中文停用词表,134,127,0.0127,通用停用词
各种,外部中文停用词表,135,119,0.0119,通用停用词
较为,外部中文停用词表,128,119,0.0119,通用停用词
此外,外部中文停用词表,119,119,0.0119,通用停用词
共同,外部中文停用词表,127,116,0.0116,通用停用词
因此,外部中文停用词表,125,114,0.0114,通用停用词
自身,外部中文停用词表,122,113,0.0113,通用停用词
任务,外部中文停用词表,383,110,0.011,通用停用词
复杂,外部中文停用词表,127,109,0.0109,通用停用词
促进,外部中文停用词表,145,107,0.0107,通用停用词
沿着,外部中文停用词表,121,107,0.0107,通用停用词
限制,外部中文停用词表,150,105,0.0105,通用停用词
不能,外部中文停用词表,117,104,0.0104,通用停用词
一次,外部中文停用词表,152,101,0.0101,通用停用词
一起,外部中文停用词表,111,100,0.01,通用停用词
大大,外部中文停用词表,101,100,0.01,通用停用词
行为,外部中文停用词表,298,99,0.0099,通用停用词
以便,外部中文停用词表,106,96,0.0096,通用停用词
另外,外部中文停用词表,100,94,0.0094,通用停用词
此时,外部中文停用词表,118,92,0.0092,通用停用词
同一,外部中文停用词表,103,92,0.0092,通用停用词
时候,外部中文停用词表,118,91,0.0091,通用停用词
全面,外部中文停用词表,93,91,0.0091,通用停用词
集中,外部中文停用词表,124,90,0.009,通用停用词
比较,外部中文停用词表,121,90,0.009,通用停用词
完全,外部中文停用词表,115,89,0.0089,通用停用词
加强,外部中文停用词表,170,87,0.0087,通用停用词
没有,外部中文停用词表,91,85,0.0085,通用停用词
对比,外部中文停用词表,105,84,0.0084,通用停用词
广泛,外部中文停用词表,88,84,0.0084,通用停用词
不足,外部中文停用词表,87,83,0.0083,通用停用词
人们,外部中文停用词表,102,82,0.0082,通用停用词
方面,外部中文停用词表,96,82,0.0082,通用停用词
考虑,外部中文停用词表,158,81,0.0081,通用停用词
目前,外部中文停用词表,84,81,0.0081,通用停用词
对待,外部中文停用词表,97,79,0.0079,通用停用词
依据,外部中文停用词表,92,77,0.0077,通用停用词
一致,外部中文停用词表,87,76,0.0076,通用停用词
第四,外部中文停用词表,128,75,0.0075,通用停用词
重新,外部中文停用词表,88,74,0.0074,通用停用词
再次,外部中文停用词表,84,74,0.0074,通用停用词
重要,外部中文停用词表,91,72,0.0072,通用停用词
更为,外部中文停用词表,75,70,0.007,通用停用词
出来,外部中文停用词表,78,69,0.0069,通用停用词
不断,外部中文停用词表,73,69,0.0069,通用停用词
代替,外部中文停用词表,79,67,0.0067,通用停用词
与其,外部中文停用词表,82,66,0.0066,通用停用词
继续,外部中文停用词表,71,64,0.0064,通用停用词
本地,外部中文停用词表,126,63,0.0063,通用停用词
这种,外部中文停用词表,66,62,0.0062,通用停用词
为了,外部中文停用词表,62,62,0.0062,通用停用词
由此,外部中文停用词表,64,61,0.0061,通用停用词
上升,外部中文停用词表,78,60,0.006,通用停用词
随着,外部中文停用词表,63,58,0.0058,通用停用词
丰富,外部中文停用词表,65,57,0.0057,通用停用词
起来,外部中文停用词表,59,57,0.0057,通用停用词
周围,外部中文停用词表,63,55,0.0055,通用停用词
可能,外部中文停用词表,58,55,0.0055,通用停用词
明显,外部中文停用词表,58,55,0.0055,通用停用词
扩大,外部中文停用词表,55,55,0.0055,通用停用词
另一方面,外部中文停用词表,53,53,0.0053,通用停用词
得出,外部中文停用词表,65,52,0.0052,通用停用词
相似,外部中文停用词表,108,51,0.0051,通用停用词
所在,外部中文停用词表,68,51,0.0051,通用停用词
随后,外部中文停用词表,60,51,0.0051,通用停用词
各自,外部中文停用词表,55,50,0.005,通用停用词
如果,外部中文停用词表,63,49,0.0049,通用停用词
因为,外部中文停用词表,53,49,0.0049,通用停用词
了解,外部中文停用词表,52,49,0.0049,通用停用词
特殊,外部中文停用词表,65,48,0.0048,通用停用词
维持,外部中文停用词表,59,48,0.0048,通用停用词
一方面,外部中文停用词表,49,48,0.0048,通用停用词
有所,外部中文停用词表,81,47,0.0047,通用停用词
基本,外部中文停用词表,80,47,0.0047,通用停用词
开始,外部中文停用词表,51,47,0.0047,通用停用词
接着,外部中文停用词表,55,46,0.0046,通用停用词
普通,外部中文停用词表,59,45,0.0045,通用停用词
替代,外部中文停用词表,61,44,0.0044,通用停用词
运用,外部中文停用词表,54,44,0.0044,通用停用词
任何,外部中文停用词表,50,44,0.0044,通用停用词
全部,外部中文停用词表,47,43,0.0043,通用停用词
多次,外部中文停用词表,56,42,0.0042,通用停用词
关于,外部中文停用词表,51,42,0.0042,通用停用词
彻底,外部中文停用词表,46,42,0.0042,通用停用词
本身,外部中文停用词表,46,42,0.0042,通用停用词
帮助,外部中文停用词表,46,41,0.0041,通用停用词
引起,外部中文停用词表,43,41,0.0041,通用停用词
如此,外部中文停用词表,41,41,0.0041,通用停用词
之前,外部中文停用词表,43,40,0.004,通用停用词
两者,外部中文停用词表,49,39,0.0039,通用停用词
不再,外部中文停用词表,42,39,0.0039,通用停用词
始终,外部中文停用词表,41,39,0.0039,通用停用词
不可,外部中文停用词表,44,38,0.0038,通用停用词
一些,外部中文停用词表,40,38,0.0038,通用停用词
逐渐,外部中文停用词表,44,37,0.0037,通用停用词
迅速,外部中文停用词表,38,37,0.0037,通用停用词
严重,外部中文停用词表,47,36,0.0036,通用停用词
来自,外部中文停用词表,41,36,0.0036,通用停用词
非常,外部中文停用词表,38,36,0.0036,通用停用词
做到,外部中文停用词表,36,35,0.0035,通用停用词
其它,外部中文停用词表,44,34,0.0034,通用停用词
准备,外部中文停用词表,38,34,0.0034,通用停用词
这些,外部中文停用词表,38,34,0.0034,通用停用词
其次,外部中文停用词表,34,34,0.0034,通用停用词
一般,外部中文停用词表,37,33,0.0033,通用停用词
用来,外部中文停用词表,35,32,0.0032,通用停用词
不但,外部中文停用词表,34,32,0.0032,通用停用词
并排,外部中文停用词表,34,32,0.0032,通用停用词
掌握,外部中文停用词表,34,32,0.0032,通用停用词
十分,外部中文停用词表,33,32,0.0032,通用停用词
上面,外部中文停用词表,48,31,0.0031,通用停用词
不够,外部中文停用词表,32,31,0.0031,通用停用词
附近,外部中文停用词表,32,31,0.0031,通用停用词
表示,外部中文停用词表,57,30,0.003,通用停用词
具体地说,外部中文停用词表,30,30,0.003,通用停用词
所以,外部中文停用词表,30,30,0.003,通用停用词
随时,外部中文停用词表,31,28,0.0028,通用停用词
做出,外部中文停用词表,29,28,0.0028,通用停用词
成为,外部中文停用词表,28,28,0.0028,通用停用词
允许,外部中文停用词表,37,27,0.0027,通用停用词
最高,外部中文停用词表,31,27,0.0027,通用停用词
相反,外部中文停用词表,33,26,0.0026,通用停用词
互相,外部中文停用词表,28,26,0.0026,通用停用词
各项,外部中文停用词表,28,26,0.0026,通用停用词
而言,外部中文停用词表,26,26,0.0026,通用停用词
明确,外部中文停用词表,30,25,0.0025,通用停用词
